Gene	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12	control_13	control_14	control_15	control_16	control_17	control_18	control_19	control_20	control_21	control_22	control_23	control_24	control_25	control_26	control_27	control_28	control_29	control_30	control_31	control_32	control_33	control_34	control_35	control_36	control_37	control_38	control_39	control_40	control_41	control_42	control_43	control_44	control_45	control_46	control_47	control_48
2	8.795147584	9.225799628	9.290828625	8.97966946415693	9.24258417966994	9.29062351456211	9.06831078224398	9.27199000084708	9.25273688962726	9.18764578770689	9.11711776690365	9.28713122827555	9.01153764054211	8.91990565150647	9.26075303196996	9.11877088798787	9.25507568895184	9.28803546994836	9.13713058251337	9.26582436685141	9.12613102504352	9.13823888050637	9.14136980084564	9.27482129895367	8.86392854917856	9.14977665925402	9.2670822325803	9.00098395147168	9.24543111733782	9.2897721947201	9.10799875888375	9.27712841658871	9.28829704510909	9.06427696514343	9.12057726443742	9.2789312958558	8.9889214851201	8.96184305493973	9.28295021458996	9.08697238748307	9.27651655152705	9.28285097149637	9.13379274788293	9.26786681361854	9.15251526422557	9.13070495576546	9.222439109934	9.23850350841277
3	14.30187844	14.46409554	15.0717881	14.4139517776164	14.9646288298406	14.8951960223793	14.7287520297501	14.5894971278532	15.06826639769	14.8331702634912	14.452520529253	14.8498462114628	14.6841264209027	14.4306209127692	15.0716723621162	14.7791387711477	14.8759361145506	14.9025000380751	14.8273843044827	14.6739538246453	14.9346460002123	14.7319158404888	14.8082733163365	14.7956712389105	14.3945046542509	14.5291069027001	15.0717842963685	14.6493046283005	15.0447097465205	14.8847264676089	14.8219189534795	14.6447120164209	15.069030627361	14.7935239773496	14.7710502674109	14.83124737855	14.5568991434818	14.4878271366762	15.0717679075155	14.719155551735	14.8586839623208	14.683260320821	14.7832786526841	14.6591076075489	14.91841482848	14.5204582863249	14.8410551169698	14.8130385773337
5	13.36649851	13.51480558	13.49568401	13.4393349200389	13.5108597109898	13.4914384335502	13.4890351139669	13.5111430844449	13.5037564399173	13.4491885992403	13.4879792077769	13.5090338053637	13.4475979890881	13.486399231323	13.4999779879068	13.4411984218886	13.510570314398	13.5060625811061	13.4682257879007	13.5071782088251	13.5014880095617	13.4524732707781	13.5008167422819	13.5077877421744	13.4840928448341	13.5007070572631	13.497968111126	13.4408976098873	13.5097338792879	13.5037494003494	13.4781677130336	13.5084160595083	13.5025957962185	13.4490539111781	13.4958065856923	13.5085218228731	13.4409323803096	13.4562953634986	13.4983067743001	13.4440366160795	13.5096344499941	13.5067257020056	13.4622553218767	13.5104987853262	13.5093491649982	13.4599703147432	13.5073060477851	13.5038835621919
6	13.35442714	13.53110985	13.63642639	13.4922445588499	13.6163098270052	13.4344146863897	13.4092049904841	13.5439115634763	13.6305182708523	13.4787768130022	13.3857122546436	13.4507997527692	13.4395854940552	13.5096332478478	13.6346912092998	13.4891081144743	13.4705719710336	13.4652369513492	13.468884433646	13.6241367492792	13.4761209210257	13.431126015937	13.4357826392325	13.4490755929019	13.4607168982642	13.5260043444098	13.6359167773827	13.4799810197642	13.628820897117	13.4368989877489	13.4603986462948	13.4710340050619	13.6342444780468	13.4587101236115	13.4242303031948	13.4501772728448	13.4835487387041	13.4688116929515	13.6355785669443	13.4737997961698	13.4687952528284	13.5336115771731	13.4884161154172	13.5819984225143	13.4748777280421	13.401296713545	13.4437658273135	13.4643198720795
7	13.08473941	13.1136368	13.07284758	13.0966140518587	13.1058241393792	13.0791732162476	13.0820624498546	13.0918949770708	13.0740117938774	13.0818266619572	13.0955988351803	13.0811388994203	13.0833385765452	13.0982336631787	13.0728886817395	13.0840764128961	13.0938527223758	13.0806932923811	13.0819475419413	13.0752847854321	13.0876203020506	13.0833318383021	13.0946998423533	13.0818109177959	13.0912292268403	13.0978802667265	13.0728490310676	13.0853583050605	13.0903963430729	13.0793236615868	13.0820064511003	13.0814906699986	13.0732778714355	13.0819919008078	13.0955429436386	13.0910064740567	13.0962773764702	13.0952906089571	13.0728530128846	13.0833429487996	13.0861927716946	13.0793525014481	13.0838645227811	13.0877740289427	13.0913856104121	13.0836456384283	13.0840720433832	13.0819124412007
8	13.1376223	13.33719963	13.48236691	13.253316140016	13.3548453855925	13.3811173957595	13.2331009926417	13.3372859664583	13.4418419827386	13.3447320977996	13.3236318303497	13.3744664066854	13.2188336799069	13.3370809338321	13.4694885372141	13.3187057740136	13.3576647996715	13.3771387131113	13.2652883370411	13.3524494662783	13.4066162788633	13.329443164633	13.3633428143785	13.2958795224402	13.2158335244807	13.3371886310061	13.478274305847	13.228650911969	13.3673462350467	13.3682088118564	13.2423817852847	13.3430657115002	13.4539180951404	13.2535080172749	13.3546532800442	13.3682826561059	13.2458899389835	13.238943602374	13.4775431755418	13.2521208525645	13.3641237401705	13.3744544691736	13.3145927408689	13.3420285078136	13.3809160160003	13.3268523583203	13.3693410431511	13.2703700171188
10	13.26165428	13.32421004	13.52764833	13.2867402380303	13.3243310324264	13.4431183686598	13.3939506207381	13.3888000084184	13.4585108017859	13.412534907256	13.2638505614843	13.3424101954852	13.3716537571509	13.3043491054493	13.5041382899562	13.387932768865	13.341776676205	13.3425126687633	13.4008604465015	13.444719322335	13.3373554731467	13.3312921623382	13.3074171839319	13.3634815546795	13.2927809300006	13.3444414774788	13.5196538008761	13.3550468996304	13.4538089541055	13.3756707967042	13.3965197638707	13.3516700870461	13.501541571393	13.3901970018585	13.2880111958308	13.32810394341	13.354463869355	13.320355403245	13.509395960359	13.3862478024651	13.3419934859996	13.3701091241999	13.3921534627231	13.4154026620001	13.3406304707609	13.303555797261	13.3384111097077	13.3918566638893
11	13.04265836	13.06578587	13.19629331	13.0571666404066	13.1798798769296	13.1524706101617	13.0908189650467	13.1222735530515	13.1839935159165	13.121531642277	13.0586434421134	13.0701667166002	13.0772499924535	13.0557755636554	13.1870761685373	13.1006365344354	13.0829473206631	13.1784946758791	13.116496507215	13.1631639071122	13.1780312344554	13.0671133694225	13.06163286781	13.0739090114089	13.0484112014511	13.0808703225551	13.1893862271525	13.070730241119	13.1835143136859	13.0778793331998	13.1122868483857	13.1595208473044	13.1845785561324	13.0832139468067	13.0594189739299	13.0686203388241	13.0645449456541	13.0764996770332	13.1871391050095	13.0872063974571	13.0816278232213	13.1723447060275	13.1127712008248	13.1513505841973	13.1280739074217	13.0602599847453	13.0626507195664	13.0894711818059
12	12.92150372	12.84992788	13.19072825	12.8983023475196	12.958129168633	13.0991791355816	12.9321070150811	12.9538083277617	13.0266684291139	12.9897114423504	12.939614873106	12.8534280937329	12.9255742134024	12.8717451400814	13.0750114351657	12.9398981072806	12.905202400087	12.9601099210677	12.9473179879793	13.0118588932396	12.968586147942	12.9719867240588	12.8662979799612	12.9305819454533	12.9185342326122	12.8773519919372	13.109109355361	12.9107124253526	12.9927760104085	12.9329495411504	12.9361236108096	12.9588290599324	13.136129421665	12.9670189839195	12.8772460636493	12.8660485170521	12.9107176506585	12.9207793039963	13.0786768733752	12.9300446586507	12.897142305978	12.9665286744593	12.9427613646946	12.9996291292983	12.9345426211867	12.9472577301828	12.863079227445	12.9375008005465
13	13.46152045	13.4367223	13.46987881	13.4554508727362	13.4510734697722	13.463615275343	13.4623542831937	13.4638710280019	13.4557177810385	13.46125599359	13.4559146002791	13.4535456518045	13.4614151846452	13.4570271580596	13.4592150975216	13.4595784776266	13.4522190788951	13.458919206612	13.4619821797126	13.4597311822231	13.4559124405377	13.4561026993909	13.4555767651353	13.4610693616233	13.4597319209556	13.4554370606774	13.4618486898632	13.4596916669632	13.4532256435549	13.4626620006536	13.4622282135303	13.461356719657	13.4697234178712	13.4614095786742	13.4558664216946	13.4552804851328	13.4603047259483	13.4579885320271	13.467292277589	13.4597996012443	13.4523042901647	13.4591907552295	13.4609117351606	13.4615248531734	13.4557494700667	13.4559896052571	13.454515191498	13.4615961957228
