<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
1	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1	5'UTR	1	148	1
2	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S2	Indep-NT	24	297	-1
3	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S3	5'UTR	150	409	1
4	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S4	Indep	299	1067	-1
5	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00010[gene]">BSU00010</a>	AL009126.3	dnaA		410	1750	1
6	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S5	Intra	1751	1938	1
7	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00020[gene]">BSU00020</a>	AL009126.3	dnaN		1939	3075	1
8	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00030[gene]">BSU00030</a>	AL009126.3	yaaA		3206	3421	1
9	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00040[gene]">BSU00040</a>	AL009126.3	recF		3437	4549	1
10	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00050[gene]">BSU00050</a>	AL009126.3	yaaB		4567	4812	1
11	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00060[gene]">BSU00060</a>	AL009126.3	gyrB		4867	6783	1
12	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S6	Intra	6784	6993	1
13	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00070[gene]">BSU00070</a>	AL009126.3	gyrA		6994	9459	1
14	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S7	5'UTR	9529	9614	1
15	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S8	Inter	14811	15868	1
16	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00080[gene]">BSU00080</a>	AL009126.3	yaaC		14847	15794	-1
17	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00090[gene]">BSU00090</a>	AL009126.3	guaB		15915	17381	1
18	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S9	Indep-NT	17238	17833	-1
19	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S10	5'UTR	17453	17533	1
20	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00100[gene]">BSU00100</a>	AL009126.3	dacA		17534	18865	1
21	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S11	Inter	18866	18974	1
22	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S12	5'UTR	18976	19061	1
23	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00110[gene]">BSU00110</a>	AL009126.3	pdxS		19062	19946	1
24	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S13	Indep-NT	19194	19923	-1
25	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00120[gene]">BSU00120</a>	AL009126.3	pdxT		19968	20558	1
26	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			20611	20823	1
27	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00130[gene]">BSU00130</a>	AL009126.3	serS		20880	22157	1
28	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S14	3'PT	22452	22529	1
29	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00140[gene]">BSU00140</a>	AL009126.3	dck		22496	23149	-1
30	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S15	3'PT	22531	23167	1
31	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00150[gene]">BSU00150</a>	AL009126.3	dgk		23146	23769	-1
32	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00160[gene]">BSU00160</a>	AL009126.3	yaaH		23868	25151	-1
33	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00170[gene]">BSU00170</a>	AL009126.3	yaaI		25221	25766	-1
34	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S16	5'UTR	25655	25851	1
35	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00180[gene]">BSU00180</a>	AL009126.3	tadA		25852	26337	1
36	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S17	5'UTR	26383	26532	1
37	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	scr		26533	26635	1
38	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S18	3'UTR	26636	26731	1
39	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00190[gene]">BSU00190</a>	AL009126.3	dnaX		26814	28505	1
40	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00200[gene]">BSU00200</a>	AL009126.3	yaaK		28529	28852	1
41	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00210[gene]">BSU00210</a>	AL009126.3	recR		28867	29463	1
42	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00220[gene]">BSU00220</a>	AL009126.3	yaaL		29481	29705	1
43	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00230[gene]">BSU00230</a>	AL009126.3	bofA		29772	30035	1
44	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S19	5'UTR	30076	30278	1
45	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S20	Intra	35104	35236	1
46	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S21	Inter	35356	35458	1
47	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00240[gene]">BSU00240</a>	AL009126.3	csfB		35531	35725	1
48	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00250[gene]">BSU00250</a>	AL009126.3	xpaC		35845	36459	1
49	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00260[gene]">BSU00260</a>	AL009126.3	yaaN		36478	37638	1
50	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S22	Intra	37639	37719	1
51	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00270[gene]">BSU00270</a>	AL009126.3	yaaO		37720	39162	1
52	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00280[gene]">BSU00280</a>	AL009126.3	tmk		39159	39797	1
53	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00290[gene]">BSU00290</a>	AL009126.3	yaaQ		39871	40200	1
54	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00300[gene]">BSU00300</a>	AL009126.3	yaaR		40213	40653	1
55	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00310[gene]">BSU00310</a>	AL009126.3	holB		40665	41654	1
56	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00320[gene]">BSU00320</a>	AL009126.3	yaaT		41657	42484	1
57	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00330[gene]">BSU00330</a>	AL009126.3	yabA		42499	42858	1
58	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00340[gene]">BSU00340</a>	AL009126.3	yabB		42917	43660	1
59	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00350[gene]">BSU00350</a>	AL009126.3	yazA		43647	43946	1
60	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00360[gene]">BSU00360</a>	AL009126.3	yabC		43921	44799	1
61	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00370[gene]">BSU00370</a>	AL009126.3	abrB		44848	45138	-1
62	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S23	5'UTR	45224	45399	-1
63	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S24	5'UTR	45524	45632	1
64	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00380[gene]">BSU00380</a>	AL009126.3	metS		45633	47627	1
65	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S25	Indep-NT	47673	50019	-1
66	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00390[gene]">BSU00390</a>	AL009126.3	yabD		47706	48473	1
67	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S26	Inter	48474	48554	1
68	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00400[gene]">BSU00400</a>	AL009126.3	yabE		48629	49942	1
69	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S27	5'UTR	49987	50086	1
70	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00410[gene]">BSU00410</a>	AL009126.3	rnmV		50087	50647	1
71	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00420[gene]">BSU00420</a>	AL009126.3	ksgA		50640	51518	1
72	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S28	5'UTR	51558	51679	1
73	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00430[gene]">BSU00430</a>	AL009126.3	yabG		51680	52552	1
74	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S29	5'UTR	52649	52719	1
75	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00440[gene]">BSU00440</a>	AL009126.3	veg		52763	53023	1
76	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S30	5'UTR	53111	53182	1
77	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00450[gene]">BSU00450</a>	AL009126.3	sspF		53183	53368	1
78	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S31	Indep-NT	53363	55717	-1
79	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00460[gene]">BSU00460</a>	AL009126.3	ispE		53516	54385	1
80	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00470[gene]">BSU00470</a>	AL009126.3	purR		54441	55298	1
81	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00480[gene]">BSU00480</a>	AL009126.3	yabJ		55295	55672	1
82	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S32	Inter	55707	55815	1
83	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00490[gene]">BSU00490</a>	AL009126.3	spoVG		55866	56159	1
84	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S33	Inter	56193	56304	1
85	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00500[gene]">BSU00500</a>	AL009126.3	gcaD		56352	57722	1
86	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00510[gene]">BSU00510</a>	AL009126.3	prs		57745	58698	1
87	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00520[gene]">BSU00520</a>	AL009126.3	ctc		58783	59397	1
88	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00530[gene]">BSU00530</a>	AL009126.3	pth		59504	60070	1
89	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00540[gene]">BSU00540</a>	AL009126.3	yabK		60130	60360	1
90	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S34	Intra	60361	60429	1
91	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00550[gene]">BSU00550</a>	AL009126.3	mfd		60430	63963	1
92	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S35	5'UTR	64001	64098	1
93	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00560[gene]">BSU00560</a>	AL009126.3	spoVT		64099	64635	1
94	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00570[gene]">BSU00570</a>	AL009126.3	yabM		64817	66415	1
95	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00580[gene]">BSU00580</a>	AL009126.3	yabN		66405	67874	1
96	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00590[gene]">BSU00590</a>	AL009126.3	yabO		67877	68137	1
97	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00600[gene]">BSU00600</a>	AL009126.3	yabP		68216	68518	1
98	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00610[gene]">BSU00610</a>	AL009126.3	yabQ		68515	69150	1
99	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00620[gene]">BSU00620</a>	AL009126.3	divIC		69168	69545	1
100	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00630[gene]">BSU00630</a>	AL009126.3	yabR		69626	70012	1
101	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S36	Inter	70382	70493	1
102	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00640[gene]">BSU00640</a>	AL009126.3	spoIIE		70538	73021	1
103	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S37	Indep	71190	71799	-1
104	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00650[gene]">BSU00650</a>	AL009126.3	yabS		73106	73843	1
105	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00660[gene]">BSU00660</a>	AL009126.3	yabT		73809	74825	1
106	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00670[gene]">BSU00670</a>	AL009126.3	tilS		74929	76347	1
107	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00680[gene]">BSU00680</a>	AL009126.3	hprT		76344	76886	1
108	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S38	Intra	76887	76983	1
109	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00690[gene]">BSU00690</a>	AL009126.3	ftsH		76984	78897	1
110	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S39	Inter	78940	79025	1
111	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S40	5'UTR	79027	79091	1
112	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00700[gene]">BSU00700</a>	AL009126.3	coaX		79092	79868	1
113	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00710[gene]">BSU00710</a>	AL009126.3	hslO		79880	80755	1
114	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00720[gene]">BSU00720</a>	AL009126.3	yacD		80802	81695	1
115	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00730[gene]">BSU00730</a>	AL009126.3	cysK		81771	82697	1
116	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00740[gene]">BSU00740</a>	AL009126.3	pabB		82864	84276	1
117	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00750[gene]">BSU00750</a>	AL009126.3	pabA		84290	84874	1
118	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00760[gene]">BSU00760</a>	AL009126.3	pabC		84874	85755	1
119	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00770[gene]">BSU00770</a>	AL009126.3	sul		85737	86594	1
120	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00780[gene]">BSU00780</a>	AL009126.3	folB		86587	86949	1
121	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00790[gene]">BSU00790</a>	AL009126.3	folK		86946	87449	1
122	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00800[gene]">BSU00800</a>	AL009126.3	yazB		87401	87610	1
123	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00810[gene]">BSU00810</a>	AL009126.3	dusB		87634	88635	1
124	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S41	Indep-NT	88050	89566	-1
125	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S42	Intra	88636	88726	1
126	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00820[gene]">BSU00820</a>	AL009126.3	lysS		88727	90226	1
127	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S43	5'UTR	90318	90535	1
128	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S44	Inter	101212	101289	1
129	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00830[gene]">BSU00830</a>	AL009126.3	ctsR		101449	101913	1
130	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00840[gene]">BSU00840</a>	AL009126.3	mcsA		101927	102484	1
131	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00850[gene]">BSU00850</a>	AL009126.3	mcsB		102484	103575	1
132	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00860[gene]">BSU00860</a>	AL009126.3	clpC		103572	106004	1
133	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00870[gene]">BSU00870</a>	AL009126.3	radA		106096	107472	1
134	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00880[gene]">BSU00880</a>	AL009126.3	disA		107476	108558	1
135	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S45	Intra	108559	108673	1
136	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00890[gene]">BSU00890</a>	AL009126.3	yacL		108674	109774	1
137	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00900[gene]">BSU00900</a>	AL009126.3	ispD		109789	110487	1
138	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00910[gene]">BSU00910</a>	AL009126.3	ispF		110480	110956	1
139	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00920[gene]">BSU00920</a>	AL009126.3	gltX		111047	112498	1
140	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S46	Intra	112499	112799	1
141	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00930[gene]">BSU00930</a>	AL009126.3	cysE		112800	113453	1
142	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00940[gene]">BSU00940</a>	AL009126.3	cysS		113450	114850	1
143	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00950[gene]">BSU00950</a>	AL009126.3	mrnC		114854	115285	1
144	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00960[gene]">BSU00960</a>	AL009126.3	rlmB		115269	116018	1
145	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00970[gene]">BSU00970</a>	AL009126.3	yacP		116025	116537	1
146	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00980[gene]">BSU00980</a>	AL009126.3	sigH		116600	117256	1
147	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S47	Intra	117257	117348	1
148	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU00990[gene]">BSU00990</a>	AL009126.3	rpmGB		117349	117498	1
149	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01000[gene]">BSU01000</a>	AL009126.3	secE		117532	117711	1
150	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S48	Intra	117712	117889	1
151	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01010[gene]">BSU01010</a>	AL009126.3	nusG		117890	118423	1
152	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S49	5'UTR	118452	118590	1
153	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01020[gene]">BSU01020</a>	AL009126.3	rplK		118591	119016	1
154	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S50	Intra	119017	119110	1
155	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01030[gene]">BSU01030</a>	AL009126.3	rplA		119111	119809	1
156	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			119855	119995	1
157	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01040[gene]">BSU01040</a>	AL009126.3	rplJ		120061	120561	1
